fighter,mma_record,height,weight,reach,stance,dob,sig_str_per_min,sig_str_acc,sig_str_absorbed_per_min,sig_str_def,td_avg,td_acc,td_def,sub_avg
Paulo Renato Junior,Record: 10-2-0,182.9,Heavyweight,,Orthodox,1994-01-25,5.13,46%,4.60,61%,0.00,0%,100%,0.0
Paulo Santos,Record: 0-3-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Paulo Thiago,Record: 18-9-0,180.3,Welterweight,188.0,Orthodox,1981-01-25,1.71,39%,1.99,63%,1.42,31%,63%,1.2
Pawan Maan,Record: 7-3-1,170.2,Lightweight,177.8,Orthodox,1986-04-06,0.89,44%,2.98,43%,0.00,0%,0%,0.0
Pawel Nastula,Record: 5-6-0,182.9,Heavyweight,,Southpaw,1970-06-26,1.30,43%,1.73,50%,3.00,60%,0%,1.5
Pawel Pawlak,Record: 12-3-0,182.9,Welterweight,185.4,Orthodox,1989-02-08,1.67,33%,2.22,53%,1.00,37%,70%,0.0
Payton Talbott,Record: 5-0-0,,Bantamweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Pearl Gonzalez,Record: 6-3-0,162.6,Flyweight,,Orthodox,1986-08-12,2.23,37%,4.07,57%,1.04,11%,0%,0.5
Pedro Falcao,Record: 15-3-0,167.6,Bantamweight,167.6,Orthodox,1992-07-30,3.02,60%,0.57,65%,3.23,60%,83%,0.0
Pedro Munhoz,Record: 20-7-0 (2 NC),167.6,Bantamweight,165.1,Orthodox,1986-09-07,5.30,43%,5.90,57%,0.51,20%,81%,0.6
Pedro Nobre,Record: 18-4-2 (1 NC),165.1,Bantamweight,,,1986-02-13,1.37,30%,9.16,35%,0.00,0%,0%,0.0
Pedro Otavio,Record: 19-8-0,190.5,Heavyweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Pedro Rizzo,Record: 20-11-0,185.4,Heavyweight,,Orthodox,1974-05-03,1.93,34%,3.02,50%,0.26,28%,78%,0.0
Pedro Rocha,Record: 1-0-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Peggy Morgan,Record: 4-4-0,185.4,Bantamweight,,,1979-12-16,2.27,23%,8.20,33%,0.00,0%,50%,0.0
Per Eklund,Record: 14-5-1,177.8,Lightweight,182.9,Orthodox,,2.07,61%,2.38,67%,2.07,11%,50%,3.6
Pete Rodriguez,Record: 5-1-0,175.3,Lightweight,180.3,Switch,1996-11-13,10.37,46%,11.69,44%,0.00,0%,100%,0.0
Pete Rogers Jr.,Record: 2-4-0,182.9,Featherweight,,,,0.66,15%,1.71,65%,0.00,0%,0%,0.0
Pete Sabala,Record: 3-15-0,,Bantamweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Pete Sell,Record: 10-7-0,180.3,Welterweight,190.5,Orthodox,1982-08-05,2.60,42%,3.65,51%,0.91,21%,47%,0.9
Pete Spratt,Record: 25-23-0,175.3,Welterweight,,Orthodox,1971-01-09,1.63,48%,1.33,55%,0.30,100%,46%,0.3
Pete Williams,Record: 12-6-0,190.5,Heavyweight,,Orthodox,1975-07-10,0.61,62%,2.77,40%,1.84,40%,16%,0.9
Peter Barrett,Record: 11-5-0,177.8,Featherweight,185.4,Southpaw,1986-08-10,4.18,61%,4.32,42%,1.39,22%,66%,0.0
Peter Danesoe,Record: 6-2-0,175.3,Flyweight,172.7,Orthodox,2000-09-01,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Peter Petties,Record: 5-3-0 (1 NC),180.3,Featherweight,182.9,Southpaw,1990-12-20,2.61,29%,8.24,48%,0.00,0%,0%,0.0
Peter Sobotta,Record: 17-7-1,182.9,Welterweight,190.5,Southpaw,1987-01-11,2.14,40%,2.90,58%,1.53,32%,77%,0.5
Petr Yan,Record: 16-5-0,170.2,Bantamweight,170.2,Switch,1993-02-11,5.03,53%,4.26,59%,1.71,52%,85%,0.1
Phil Baroni,Record: 15-18-0,175.3,Welterweight,182.9,Orthodox,1976-04-16,2.77,45%,3.93,40%,1.46,47%,60%,0.5
Phil Caracappa,Record: 6-1-0,172.7,Bantamweight,177.8,Orthodox,1992-06-05,2.93,50%,4.07,29%,1.00,8%,100%,1.0
Phil Cardella,Record: 8-5-0,180.3,Lightweight,,,1976-07-09,2.47,50%,2.00,57%,0.00,0%,11%,2.5
Phil Davis,Record: 17-4-0 (1 NC),188.0,Lightheavyweight,200.7,Orthodox,1984-09-25,2.85,34%,1.33,72%,2.99,38%,72%,0.6
Phil Harris,Record: 22-12-0 (2 NC),162.6,Flyweight,165.1,Orthodox,1983-09-04,2.34,26%,3.16,68%,1.76,21%,60%,0.0
Phil Hawes,Record: 12-5-0,182.9,Middleweight,195.6,Orthodox,1989-01-08,5.55,59%,3.70,55%,2.28,36%,100%,0.2
Phil Johns,Record: 30-14-1,157.5,Welterweight,,Southpaw,1968-10-22,1.20,66%,1.80,50%,0.00,0%,50%,0.0
Phil Rowe,Record: 10-3-0,190.5,Welterweight,203.2,Orthodox,1990-07-18,4.39,52%,4.97,53%,0.81,37%,52%,0.5
Philip De Fries,Record: 12-6-0 (1 NC),195.6,Heavyweight,200.7,Orthodox,1986-04-21,2.30,47%,3.00,37%,3.29,42%,100%,0.6
Philip Perez,Record: 7-5-1 (2 NC),165.1,Lightweight,,Southpaw,,1.36,100%,0.68,66%,10.23,100%,0%,10.2
Philip Preece,Record: 10-14-0,172.7,Lightheavyweight,,Orthodox,,0.80,72%,0.70,63%,0.00,0%,0%,0.0
Philipe Lins,Record: 17-5-0,188.0,Lightheavyweight,198.1,Orthodox,1985-08-17,3.59,46%,3.73,44%,1.55,35%,100%,0.0
Phillip Miller,Record: 16-0-0,180.3,Middleweight,,Orthodox,1979-02-20,1.61,54%,1.93,50%,3.62,25%,100%,0.6
Phillipe Nover,Record: 11-8-1,175.3,Featherweight,182.9,Orthodox,1984-02-03,1.79,35%,2.48,56%,0.99,28%,44%,0.7
Piera Rodriguez,Record: 9-1-0,160.0,Flyweight,160.0,Orthodox,1992-11-11,3.46,46%,2.98,57%,3.31,41%,66%,0.0
Pietro Menga,Record: 13-0-0,170.2,Flyweight,172.7,Southpaw,1988-02-15,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Pingyuan Liu,Record: 13-7-0,167.6,Bantamweight,182.9,Orthodox,1993-02-13,2.36,33%,2.99,54%,0.25,20%,56%,1.0
Piotr Hallmann,Record: 18-6-0,175.3,Lightweight,180.3,Orthodox,1987-08-25,3.98,45%,3.17,58%,2.55,44%,70%,0.4
Poliana Botelho,Record: 8-5-0,172.7,Flyweight,170.2,Orthodox,1988-12-15,2.90,58%,2.80,54%,0.85,57%,76%,0.0
Polyana Viana,Record: 13-5-0,165.1,Flyweight,170.2,Orthodox,1992-06-14,3.50,41%,2.86,54%,0.80,33%,50%,2.4
Poppies Martinez,Record: 29-11-0,175.3,Featherweight,,,1983-08-19,2.88,50%,2.16,51%,1.54,33%,50%,9.2
Preston Parsons,Record: 10-4-0,180.3,Welterweight,180.3,Orthodox,1995-07-15,4.14,56%,3.76,49%,3.11,33%,100%,3.5
Priscila Cachoeira,Record: 12-4-0,170.2,Flyweight,165.1,Orthodox,1988-08-19,4.68,43%,7.85,46%,0.21,33%,65%,0.0
Pro Escobedo,Record: 1-0-0,,Lightheavyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Punahele Soriano,Record: 9-3-0,180.3,Middleweight,182.9,Southpaw,1992-11-22,4.04,45%,4.22,48%,0.90,40%,30%,0.0
Qiu Lun,Record: 16-9-0,172.7,Flyweight,167.6,Southpaw,1997-07-08,3.51,46%,1.78,67%,0.67,18%,68%,0.0
Quinn Mulhern,Record: 18-4-0,190.5,Lightweight,,Orthodox,1984-09-20,1.48,28%,2.09,51%,1.36,20%,33%,0.0
Quinton Jackson,Record: 37-12-0,185.4,Lightheavyweight,185.4,Orthodox,1978-06-20,3.25,54%,2.51,55%,1.52,56%,73%,0.1
RJ Clifford,Record: 4-3-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rachael Ostovich,Record: 4-6-0,160.0,Flyweight,157.5,Orthodox,1991-02-25,2.54,43%,3.97,57%,2.03,83%,66%,0.8
Rafa Garcia,Record: 16-3-0,170.2,Lightweight,177.8,Orthodox,1994-08-05,4.19,42%,4.21,61%,3.61,44%,79%,0.3
Rafael  Del Real,Record: 6-20-0,180.3,Heavyweight,,,,5.58,40%,0.00,0%,20.93,100%,100%,0.0
Rafael Alves,Record: 20-12-0,172.7,Lightweight,172.7,Orthodox,1990-11-14,1.85,48%,3.30,58%,0.29,25%,44%,1.5
Rafael Carino,Record: 2-1-1,203.2,Heavyweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rafael Carvalho,Record: 14-1-0,190.5,Middleweight,,,1986-07-27,1.94,50%,1.84,54%,2.77,40%,70%,0.0
Rafael Cavalcante,Record: 12-7-0 (1 NC),185.4,Lightheavyweight,188.0,Orthodox,1980-04-14,2.71,53%,3.62,49%,0.60,40%,63%,0.1
Rafael Dias,Record: 17-12-2,175.3,Featherweight,,Orthodox,1979-10-20,1.13,27%,2.19,60%,3.17,47%,100%,1.2
Rafael Dos Anjos,Record: 32-14-0,172.7,Welterweight,177.8,Southpaw,1984-10-26,3.56,47%,3.21,61%,2.05,35%,59%,0.6
Rafael Estevam,Record: 11-0-0,172.7,Flyweight,175.3,Orthodox,1996-08-10,6.47,80%,0.40,50%,4.04,50%,0%,0.0
Rafael Fiziev,Record: 12-2-0,172.7,Lightweight,180.3,Switch,1993-03-05,5.06,51%,5.17,48%,0.31,40%,90%,0.0
Rafael Freitas,Record: 3-6-0 (1 NC),,Lightheavyweight,,Orthodox,,2.00,29%,8.00,51%,11.25,50%,0%,0.0
Rafael Natal,Record: 21-9-1,182.9,Middleweight,195.6,Orthodox,1982-12-25,3.10,47%,2.48,57%,2.55,34%,77%,0.5
Rafael Rebello,Record: 9-4-0,165.1,Bantamweight,170.2,Orthodox,1980-10-16,2.19,32%,3.29,58%,2.82,33%,75%,0.5
Rafael Rios,Record: 4-2-0,,Featherweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rafael Silva,Record: 28-6-0,170.2,Bantamweight,,,1985-03-20,0.67,50%,0.73,67%,0.00,0%,25%,1.0
Rafaello Oliveira,Record: 17-8-0,172.7,Lightweight,180.3,Orthodox,1982-01-26,2.19,33%,3.38,59%,2.49,36%,11%,1.6
Raine Guerrero,Record: 5-1-0,,Flyweight,,,1992-05-13,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rainy Martinez,Record: 0-2-0,182.9,Middleweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Raja Shippen,Record: 18-11-1,167.6,Featherweight,,,1986-10-07,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ralek Gracie,Record: 3-1-0,188.0,Lightheavyweight,,Orthodox,1985-10-04,1.61,46%,1.05,55%,2.50,75%,0%,1.7
Ralph Dillon,Record: 0-2-1,188.0,Lightheavyweight,,Orthodox,,0.34,14%,0.69,60%,0.00,0%,0%,0.0
Ralph Gracie,Record: 6-1-0,175.3,Welterweight,,Orthodox,,0.86,37%,1.72,31%,0.00,0%,25%,4.0
Rama Supandhi,Record: 8-4-0,165.1,Flyweight,167.6,Southpaw,1991-11-07,2.20,42%,3.53,48%,1.00,11%,0%,0.0
Ramazan Emeev,Record: 20-6-0,177.8,Welterweight,193.0,Southpaw,1987-05-23,2.53,45%,2.14,65%,2.37,29%,66%,0.7
Ramazan Kuramagomedov,Record: 8-0-0,185.4,Welterweight,185.4,Orthodox,1996-08-23,11.67,67%,9.13,54%,1.00,14%,0%,0.0
Rameau Thierry Sokoudjou,Record: 18-18-0,177.8,Lightheavyweight,198.1,Orthodox,1984-04-18,2.26,45%,2.61,56%,1.93,47%,78%,0.9
Ramiro Hernandez,Record: 19-9-0,175.3,Bantamweight,,Orthodox,1986-07-22,2.72,28%,5.51,64%,0.00,0%,0%,0.0
Ramiz Brahimaj,Record: 10-4-0,177.8,Welterweight,182.9,Orthodox,1992-11-17,2.47,41%,4.08,50%,1.90,66%,58%,2.4
Ramon Taveras,Record: 7-1-0,,Featherweight,,,1994-01-09,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ramona Pascual,Record: 6-5-0,170.2,Bantamweight,167.6,Southpaw,1988-09-23,3.87,57%,8.43,46%,1.81,19%,100%,0.0
Ramsey Nijem,Record: 9-6-0,180.3,Lightweight,190.5,Orthodox,1988-04-01,3.05,44%,1.62,62%,5.32,62%,55%,1.1
Rana Rudra Pratap Singh,Record: 11-2-0,177.8,Bantamweight,175.3,Orthodox,1997-05-09,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Randa Markos,Record: 11-12-1,162.6,Flyweight,160.0,Orthodox,1985-08-10,2.97,43%,3.10,58%,1.12,28%,52%,0.2
Randall Wallace,Record: 15-6-0,180.3,Middleweight,185.4,Orthodox,1989-03-01,1.13,38%,4.11,45%,2.13,50%,0%,0.0
Randy Brown,Record: 16-5-0,190.5,Welterweight,198.1,Orthodox,1990-07-08,4.39,47%,3.30,54%,0.68,33%,71%,0.6
Randy Costa,Record: 6-4-0,175.3,Bantamweight,185.4,Switch,1994-07-06,6.53,46%,7.58,58%,0.00,0%,50%,0.0
Randy Couture,Record: 19-11-0,185.4,Lightheavyweight,190.5,Orthodox,1963-06-22,2.85,57%,1.53,59%,2.78,46%,58%,0.5
Rani Yahya,Record: 28-11-1 (1 NC),167.6,Bantamweight,170.2,Orthodox,1984-09-12,1.59,37%,1.77,50%,2.86,32%,24%,1.9
Raoni Barcelos,Record: 17-4-0,170.2,Bantamweight,170.2,Orthodox,1987-05-01,5.69,52%,5.06,61%,1.63,41%,93%,0.4
Raou Raou,Record: 0-1-0,172.7,Middleweight,,Orthodox,,2.01,16%,6.75,60%,0.00,0%,0%,0.0
Raphael Assuncao,Record: 28-10-0,165.1,Bantamweight,167.6,Orthodox,1982-07-19,3.22,42%,2.50,66%,1.65,39%,78%,0.2
Raphael Butler,Record: 9-2-1,190.5,Heavyweight,,,1984-01-04,4.69,45%,0.94,91%,0.00,0%,100%,14.1
Raphael Pessoa,Record: 10-2-0,190.5,Heavyweight,198.1,Orthodox,1989-03-09,2.16,26%,3.43,42%,0.00,0%,100%,0.0
Raquel Pa'aluhi,Record: 6-5-0,170.2,Bantamweight,,,,1.71,56%,3.42,46%,0.00,0%,18%,0.0
Raquel Pennington,Record: 15-9-0,170.2,Bantamweight,170.2,Orthodox,1988-09-05,4.02,50%,3.34,62%,0.93,27%,63%,0.6
Rashad Coulter,Record: 9-4-0,180.3,Lightheavyweight,193.0,Orthodox,1981-11-27,4.82,56%,6.68,50%,0.00,0%,62%,0.0
Rashad Evans,Record: 19-8-1,182.9,Lightheavyweight,190.5,Orthodox,1979-09-25,2.14,37%,2.42,63%,2.98,44%,73%,0.0
Rashard Lovelace,Record: 4-1-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rashid Magomedov,Record: 20-2-0,175.3,Lightweight,177.8,Orthodox,1984-11-29,4.40,49%,3.05,54%,0.67,57%,89%,0.2
Raul Castillo,Record: 7-1-0,180.3,Middleweight,,Orthodox,,1.47,48%,3.27,60%,0.00,0%,0%,0.0
Raul Rosas Jr.,Record: 7-1-0,175.3,Bantamweight,170.2,Switch,2004-10-08,0.76,37%,1.37,40%,3.67,33%,0%,1.8
Raul Sandoval,Record: 3-3-0,,Flyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Raulian Paiva,Record: 21-5-0,172.7,Bantamweight,175.3,Orthodox,1995-10-17,4.14,42%,5.01,48%,0.65,23%,77%,0.2
Ray Borg,Record: 13-5-0,162.6,Bantamweight,160.0,Orthodox,1993-08-04,1.52,52%,1.93,48%,3.89,50%,46%,1.0
Ray Perales,Record: 13-22-0,177.8,Welterweight,,Orthodox,,0.18,25%,2.39,32%,0.00,0%,33%,0.0
Ray Rodriguez,Record: 16-8-0,170.2,Bantamweight,177.8,Orthodox,1987-12-10,0.90,27%,3.89,40%,1.42,50%,44%,0.0
Ray Routh,Record: 2-1-0,172.7,Middleweight,,Orthodox,,0.54,21%,3.22,28%,2.69,33%,0%,0.0
Ray Sefo,Record: 2-2-0,182.9,Heavyweight,,Orthodox,1971-02-15,0.86,31%,1.71,72%,0.00,0%,66%,0.0
Ray Seraille,Record: 8-9-0,190.5,Heavyweight,,,,5.29,27%,17.65,41%,0.00,0%,0%,0.0
Ray Sloan,Record: 8-1-0,185.4,Lightheavyweight,,,1985-07-14,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ray Steinbeiss,Record: 14-7-0,180.3,Welterweight,,Orthodox,1979-09-12,0.00,0%,0.00,100%,0.00,0%,0%,0.0
Ray Wizard,Record: 0-1-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rayanne Amanda,Record: 11-6-0,157.5,Flyweight,157.5,Orthodox,1995-06-08,3.67,31%,6.87,57%,1.00,25%,0%,0.0
Raymond Daniels,Record: 0-1-0,188.0,Middleweight,,Southpaw,,0.00,0%,2.61,38%,0.00,0%,33%,3.0
Razak Al-Hassan,Record: 13-5-0,188.0,Lightheavyweight,,Orthodox,1982-05-14,3.27,39%,3.14,60%,0.65,14%,57%,0.0
Reese Andy,Record: 7-3-0,182.9,Lightheavyweight,,Orthodox,1973-03-31,2.87,50%,3.50,58%,0.67,20%,40%,0.0
Reginaldo Vieira,Record: 13-5-0,170.2,Bantamweight,165.1,Orthodox,1982-11-26,3.76,40%,2.89,59%,1.97,27%,25%,0.8
Rei Tsuruya,Record: 7-0-0,167.6,Flyweight,172.7,Orthodox,2002-06-22,4.49,75%,0.46,33%,5.18,75%,0%,5.2
Remco Pardoel,Record: 9-6-1 (2 NC),190.5,Heavyweight,,Southpaw,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Remo Cardarelli,Record: 7-5-0,,Bantamweight,,,,2.27,47%,1.47,59%,0.00,0%,100%,0.0
Renan Barao,Record: 34-9-0 (1 NC),167.6,Featherweight,177.8,Orthodox,1987-01-31,3.78,36%,3.90,57%,1.49,41%,91%,0.5
Renato Moicano,Record: 17-5-1,180.3,Lightweight,182.9,Orthodox,1989-05-21,4.75,47%,4.07,60%,1.66,46%,74%,0.7
Renato Sobral,Record: 37-11-0,185.4,Lightheavyweight,190.5,Orthodox,1975-09-07,2.23,45%,1.53,57%,2.48,42%,65%,2.6
Renato Verissimo,Record: 7-5-0 (1 NC),185.4,Welterweight,,Orthodox,1973-08-03,0.92,48%,1.87,47%,1.46,30%,50%,2.5
Rene Kronvold,Record: 5-1-0,172.7,Welterweight,,Orthodox,,0.82,100%,2.47,60%,0.00,0%,66%,4.1
Renee Forte,Record: 8-4-0,170.2,Lightweight,180.3,Orthodox,1987-03-27,2.08,32%,2.12,63%,2.32,58%,66%,0.0
Renzo Gracie,Record: 13-7-1 (1 NC),177.8,Middleweight,,Orthodox,1967-03-11,1.71,41%,1.67,55%,1.13,20%,40%,0.8
Reuben Duran,Record: 11-7-1,170.2,Bantamweight,180.3,Orthodox,1983-07-02,3.19,49%,2.61,50%,0.98,23%,25%,0.7
Rex Holman,Record: 4-2-0,190.5,Lightheavyweight,,Southpaw,,2.75,34%,7.25,40%,0.00,0%,100%,0.0
Rex Richards,Record: 7-2-0,195.6,Heavyweight,,,,17.65,58%,5.29,72%,0.00,0%,0%,0.0
Reyes Cortez,Record: 5-2-0,170.2,Bantamweight,172.7,Orthodox,1992-07-31,3.13,39%,5.20,59%,2.00,20%,0%,0.0
Reynaldo Trujillo,Record: 21-19-0,175.3,Lightweight,,,1982-01-01,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Reza Arianto,Record: 5-0-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Reza Madadi,Record: 14-6-0,180.3,Lightweight,185.4,Orthodox,1978-06-20,2.51,46%,3.31,66%,3.17,33%,89%,0.5
Reza Nasri,Record: 0-1-0,180.3,Lightheavyweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rhadi Ferguson,Record: 3-0-0,170.2,Lightheavyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rhys McKee,Record: 10-4-1,188.0,Welterweight,198.1,Orthodox,1995-09-10,6.83,53%,11.90,43%,0.00,0%,20%,0.0
Ricardo Abreu,Record: 5-1-0,180.3,Middleweight,,Orthodox,1984-04-27,3.79,31%,3.98,68%,2.13,42%,100%,0.7
Ricardo Almeida,Record: 13-5-0,182.9,Welterweight,188.0,Orthodox,1976-11-29,2.02,49%,1.20,61%,3.74,38%,31%,1.2
Ricardo Arona,Record: 14-5-0,180.3,Lightheavyweight,,Orthodox,1978-07-17,1.66,48%,1.15,57%,2.41,48%,58%,1.2
Ricardo Barros,Record: 2-2-0,185.4,Lightheavyweight,,,1976-03-22,0.00,0%,8.22,31%,0.00,0%,100%,0.0
Ricardo Funch,Record: 9-6-0,177.8,Welterweight,188.0,Southpaw,1980-08-14,2.61,65%,3.57,40%,1.24,18%,60%,0.0
Ricardo Lamas,Record: 20-8-0,172.7,Featherweight,180.3,Orthodox,1982-05-21,3.13,47%,2.87,57%,1.84,33%,46%,0.9
Ricardo Morais,Record: 10-4-1,203.2,Heavyweight,,Orthodox,1967-02-26,2.86,37%,2.39,53%,0.00,0%,0%,0.0
Ricardo Prasel,Record: 10-2-0,200.7,Heavyweight,198.1,Orthodox,1990-06-02,2.21,57%,7.83,37%,0.00,0%,0%,0.0
Ricardo Ramos,Record: 16-4-0,175.3,Featherweight,182.9,Orthodox,1995-08-01,3.32,38%,3.82,57%,2.58,58%,72%,0.6
Ricardo Romero,Record: 11-3-0,182.9,Lightheavyweight,193.0,Orthodox,1978-04-15,2.17,55%,4.77,46%,1.63,10%,100%,3.3
Ricco Rodriguez,Record: 53-25-0 (1 NC),193.0,Heavyweight,,Orthodox,1977-08-19,1.85,51%,1.15,61%,2.30,39%,40%,1.0
Rich Attonito,Record: 10-5-0,177.8,Welterweight,182.9,Orthodox,1977-06-16,2.28,47%,2.13,59%,0.74,37%,75%,0.0
Rich Bouphanouvong,Record: 1-4-0,170.2,Welterweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rich Clementi,Record: 45-23-1,175.3,Lightweight,182.9,Southpaw,1976-03-31,1.43,37%,2.29,60%,1.72,42%,25%,1.1
Rich Franklin,Record: 29-7-0 (1 NC),185.4,Middleweight,193.0,Southpaw,1974-10-05,4.10,44%,2.07,62%,1.31,66%,63%,0.7
Richard Crunkilton,Record: 19-4-0,170.2,Lightweight,,Orthodox,1979-11-25,1.72,41%,1.45,58%,4.08,61%,65%,1.3
Richard Dalton,Record: 4-3-1,185.4,Lightheavyweight,,Orthodox,,1.20,69%,3.27,25%,1.00,11%,0%,0.0
Richard Jacobi,Record: 6-1-1,193.0,Heavyweight,190.5,Orthodox,1993-09-28,0.88,44%,3.94,51%,3.28,100%,100%,0.0
Richard Odoms,Record: 13-3-0,195.6,Heavyweight,,Orthodox,1975-05-08,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Richard Walsh,Record: 9-5-0,182.9,Welterweight,185.4,Orthodox,1988-12-01,3.84,46%,2.72,58%,1.55,40%,66%,0.2
Richardson Moreira,Record: 7-4-0,188.0,Middleweight,,Orthodox,1984-03-31,1.17,28%,1.83,67%,0.00,0%,100%,0.0
Richie Hightower,Record: 8-4-0 (1 NC),172.7,Welterweight,,Orthodox,1974-11-26,4.62,35%,6.92,21%,3.46,100%,100%,0.0
Richie Santiago,Record: 7-2-0,170.2,Bantamweight,170.2,Southpaw,1992-10-10,3.87,49%,4.87,42%,0.00,0%,25%,0.0
Richie Smullen,Record: 3-1-1,175.3,Lightweight,172.7,Orthodox,1991-08-17,1.98,77%,2.26,65%,8.49,66%,0%,0.0
Richie Vaculik,Record: 10-4-0,167.6,Flyweight,175.3,Orthodox,1983-06-19,3.69,46%,4.09,57%,3.00,45%,31%,1.0
Rick Davis,Record: 3-1-1,175.3,Lightweight,,Orthodox,,3.09,50%,6.19,64%,0.00,0%,0%,0.0
Rick Roufus,Record: 4-6-0,182.9,Lightheavyweight,,Southpaw,,0.53,33%,1.06,33%,0.00,0%,50%,0.0
Rick Story,Record: 19-9-0,175.3,Welterweight,180.3,Southpaw,1984-08-28,3.80,41%,2.17,62%,2.53,48%,63%,0.9
Rickson Gracie,Record: 11-0-0,177.8,Middleweight,,Switch,1958-11-20,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rickson Zenidim,Record: 14-1-0,,Flyweight,,,1999-02-17,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ricky Calatayud,Record: 16-2-0,175.3,Flyweight,,,1982-10-10,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ricky Camp,Record: 11-4-0,170.2,Bantamweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ricky Glenn,Record: 22-7-2,182.9,Lightweight,177.8,Southpaw,1989-04-12,3.99,43%,3.92,52%,0.56,13%,68%,0.4
Ricky Johnson,Record: 10-6-0,172.7,Featherweight,,Orthodox,,1.83,25%,6.30,36%,0.00,0%,0%,0.0
Ricky Legere Jr.,Record: 14-4-0,172.7,Welterweight,,,,1.07,41%,1.53,60%,5.00,41%,0%,0.0
Ricky Palacios,Record: 10-1-0,167.6,Featherweight,,Orthodox,1987-07-05,7.73,53%,3.27,59%,0.00,0%,100%,0.0
Ricky Rainey,Record: 12-6-0,185.4,Welterweight,195.6,Switch,1983-06-29,2.55,48%,2.62,46%,0.95,18%,55%,0.0
Ricky Simon,Record: 20-4-0,167.6,Bantamweight,175.3,Orthodox,1992-08-31,3.01,44%,3.23,62%,5.84,50%,75%,0.4
Ricky Steele,Record: 6-0-0,175.3,Bantamweight,188.0,Orthodox,1988-05-26,4.07,70%,2.93,50%,0.00,0%,91%,0.0
Ricky Turcios,Record: 13-3-0,175.3,Bantamweight,180.3,Orthodox,1993-06-05,5.08,37%,3.70,55%,1.00,25%,45%,0.2
Rico Altamirano,Record: 4-3-0,177.8,Welterweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rico DiSciullo,Record: 9-2-0 (1 NC),172.7,Bantamweight,,Orthodox,1986-10-12,1.71,33%,4.41,56%,0.00,0%,0%,0.0
Rico Farrington,Record: 7-3-0,193.0,Welterweight,200.7,Southpaw,1989-06-19,6.33,41%,7.20,51%,0.00,0%,20%,0.0
Riki Fukuda,Record: 24-9-0 (1 NC),182.9,Middleweight,185.4,Southpaw,1981-01-06,4.24,43%,3.71,64%,2.17,43%,70%,0.0
Rilley Dutro,Record: 11-4-0,172.7,Flyweight,,Orthodox,1987-09-03,4.74,54%,5.95,33%,0.00,0%,83%,0.0
Rin Nakai,Record: 19-2-1,154.9,Bantamweight,,Orthodox,1986-10-22,1.57,33%,3.90,60%,3.00,18%,75%,0.5
Rinat Fakhretdinov,Record: 20-1-0,182.9,Welterweight,188.0,Orthodox,1991-09-28,2.93,68%,0.70,57%,6.00,63%,100%,0.0
Rinya Nakamura,Record: 7-0-0,170.2,Bantamweight,172.7,Southpaw,1995-03-23,8.57,50%,3.65,62%,4.76,66%,100%,2.4
Rizvan Kuniev,Record: 11-2-1,193.0,Heavyweight,193.0,Orthodox,1992-10-03,7.09,73%,1.55,51%,4.09,75%,0%,0.0
Roan Carneiro,Record: 21-11-0,180.3,Welterweight,193.0,Orthodox,1978-06-02,1.46,46%,1.82,62%,3.05,42%,83%,1.4
Rob Broughton,Record: 16-7-1,188.0,Heavyweight,188.0,Orthodox,1983-03-03,2.83,60%,2.54,51%,0.00,0%,26%,3.2
